Expression	Value	Location	Type	
SPI1_CR1	0x34d	0x4001'3000	unsigned long	
chip_addresses_read	<array>	0x2000'5818	uint32_t[8]	
read_page_buffer	<array>""	0x2000'4f60	uint8_t[256]	
ModbusRegister	<array>	0x2000'53dc	uint16_t[100]	
ModbusTx	<array>""	0x2000'530c	uint8_t[205]	
ModbusRx	<array>"..."	0x2000'523c	uint8_t[205]	
erase_sector	0	0x2000'5630	uint32_t	
erase_flag	0	0x2000'5638	uint32_t	
data_TX_flash	<array>	0x2000'4c20	uint8_t[2][256]	
chip_addresses	<array>	0x2000'55f0	uint32_t[8]	
ploho	Error: Unknown or ambiguous symbol. ploho			
stata	Error: Unknown or ambiguous symbol. stata			
bubba_TX	Error: Unknown or ambiguous symbol. bubba_TX			
bubba_RX	Error: Unknown or ambiguous symbol. bubba_RX			
kyda	Error: Unknown or ambiguous symbol. kyda			
experement	0	0x2000'0030	uint8_t	
bubba_tx	<array>".6Х@‘\r"	0x2000'0090	uint8_t[256]	
bubba_rx	<array>"EDЧмЯмПмяящяSяwя~я"	0x2000'0190	uint8_t[256]	
[0]	0x45	0x2000'0190	uint8_t	
[1]	0x44	0x2000'0191	uint8_t	
[2]	0xd7	0x2000'0192	uint8_t	
[3]	0xec	0x2000'0193	uint8_t	
[4]	0xdf	0x2000'0194	uint8_t	
[5]	0xec	0x2000'0195	uint8_t	
[6]	0xcf	0x2000'0196	uint8_t	
[7]	0xec	0x2000'0197	uint8_t	
[8]	0xff	0x2000'0198	uint8_t	
[9]	0xff	0x2000'0199	uint8_t	
[10]	0xf9	0x2000'019a	uint8_t	
[11]	0xff	0x2000'019b	uint8_t	
[12]	0x53	0x2000'019c	uint8_t	
[13]	0xff	0x2000'019d	uint8_t	
[14]	0x77	0x2000'019e	uint8_t	
[15]	0xff	0x2000'019f	uint8_t	
[16]	0x7e	0x2000'01a0	uint8_t	
[17]	0xff	0x2000'01a1	uint8_t	
[18]	0x0	0x2000'01a2	uint8_t	
[19]	0x0	0x2000'01a3	uint8_t	
[20]	0x0	0x2000'01a4	uint8_t	
[21]	0x0	0x2000'01a5	uint8_t	
[22]	0x0	0x2000'01a6	uint8_t	
[23]	0x0	0x2000'01a7	uint8_t	
[24]	0x0	0x2000'01a8	uint8_t	
